IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,21400515,7499.996,799.9995,5456.0923,-0.57391185,-0.48892376,1.6003658,0.055261612,0.29119846,58.901424,0.030594159,-0.01007945,0.003504633,1.9380655,-0.0018911507,-0.0149981445,0.32703197,0.34385574,0.35049888,0.363531,-0.0011631647,-0.001029511,0.080235906,0.07674933,189.54564,189.60094,183.78587,183.75104,0,0,0,0,0,0,0,0,0,0,0,0,-0.020510668,-0.021018624,-0.011336691,-0.012868855,0.020543624,0.021043822,0.08103284,0.07782074,-0.006026,-0.0044953898,0.0038980544,0.005328715,246,4,188,1,4,-621.0419,617.78613,117.17419,58.902164,243797.88,426.7162,189.05933,187.9419,182.90567,182.90567,21.314953,1,33352.1,150.1764,153.10516,114.82109,901.0278,5,1,255,0,0,0,5,0,184,0
True,21404187,7499.996,799.9995,5380.1553,-0.501276,-1.1847245,1.4064765,0.06377792,0.29444116,58.941605,0.043698184,-0.009416008,0.0048277555,1.9376302,-0.0004074876,-0.014851776,0.30193532,0.31752568,0.32647523,0.33861062,-2.1976995E-05,8.9967216E-05,0.031861216,0.029591668,189.6948,189.74619,182.67719,182.67642,0,0,0,0,0,0,0,0,0,0,0,0,-0.010076076,-0.010481274,-0.012586158,-0.013820631,0.010076099,0.010481659,0.03425709,0.032660015,-0.008309267,-0.0068908706,0.00126075,0.002592966,246,4,188,1,4,-618.7509,617.8013,116.2906,58.942375,90568.41,161.07643,189.0057,187.89023,182.87027,182.87027,21.314953,1,33354.562,150.1764,153.10516,114.862755,901.06946,5,1,112,0,0,0,5,0,185,0
True,21404250,7499.996,799.9995,5435.2515,-0.34979162,-2.782786,0.10722054,0.068538666,0.38011798,58.915367,0.063327774,-0.006812537,0.0024186298,1.9369794,0.005771184,-0.014411334,0.26766425,0.28026283,0.26320475,0.27249977,0.00016393804,7.873369E-05,0.041018043,0.03863553,189.59018,189.62314,182.93835,182.90857,0,0,0,0,0,0,0,0,0,0,0,0,-0.022921192,-0.02452886,-0.012687328,-0.013862109,0.022921778,0.024528986,0.042935394,0.041047074,-0.011427216,-0.010281011,-0.0056850538,-0.004664652,246,4,188,1,4,-614.0166,617.81647,114.466515,58.91663,82515.516,144.97906,188.89145,187.77966,182.77992,182.77992,21.314953,1,33359.65,150.1764,153.10516,114.94887,901.1556,5,1,104,0,0,0,5,0,185,0
True,21404328,7499.996,799.9995,5424.4536,-0.4836382,-2.201278,-0.102957666,0.069955826,0.42066056,58.898266,0.016714139,-0.0122367805,-0.0015276885,1.9362916,0.008834662,-0.014364475,0.32155356,0.3353579,0.25229746,0.2634322,1.8594486E-05,-8.054282E-05,0.03315941,0.03054969,189.5792,189.63928,182.73712,182.73279,0,0,0,0,0,0,0,0,0,0,0,0,-0.022000197,-0.024490831,-0.0137234,-0.015151909,0.022000205,0.024490964,0.035887018,0.03410079,-0.0065244213,-0.005268514,-0.0068824515,-0.005660087,246,4,188,1,4,-610.19885,617.81335,112.9982,58.899803,71720.08,126.236916,188.80492,187.69664,182.70656,182.70656,21.31031,1,33363.746,150.1764,153.10516,115.01831,901.22504,5,1,94,0,0,0,5,0,186,0
True,21404375,7499.996,799.9995,5418.997,-0.6781069,-0.68840784,-0.22733529,0.075107574,0.43356663,58.87679,-0.011858075,-0.015988912,-0.0056990916,1.9354872,0.00880724,-0.014583786,0.38655338,0.404689,0.29657546,0.3106567,0.00019164446,0.00013812749,0.022776488,0.02073536,189.54173,189.62187,182.46442,182.49126,0,0,0,0,0,0,0,0,0,0,0,0,-0.021971485,-0.024761727,-0.015186932,-0.01713546,0.021972321,0.024762113,0.027375378,0.026899427,-0.0006107986,0.0010391623,-0.002021633,-0.00047580153,246,4,188,1,4,-607.14465,617.8076,111.826035,58.878433,66792.32,117.70929,188.73924,187.63423,182.64963,182.64963,21.152264,1,33367.03,150.1764,153.10516,115.07387,901.2806,5,1,89,0,0,0,5,0,186,0
True,21404453,7499.996,799.9995,5443.5093,-0.8469652,0.7033447,-0.17331436,0.07982445,0.4430568,58.865425,-0.021673834,-0.016960775,-0.0026870742,1.9343379,0.007397601,-0.014918318,0.42515236,0.45076287,0.34923598,0.3690745,-0.00013033478,-0.0001132586,0.042179883,0.03887572,189.50711,189.59409,182.89551,182.89075,0,0,0,0,0,0,0,0,0,0,0,0,-0.022853695,-0.025231352,-0.016390495,-0.018869251,0.022854066,0.025231605,0.045252524,0.04321308,0.0029008985,0.0052309185,0.003759414,0.0059372783,246,4,188,1,4,-603.3268,617.80475,110.36478,58.867138,134554.61,236.0239,188.65884,187.55856,182.58167,182.58167,21.15672,1,33371.133,150.1764,153.10516,115.14331,901.35004,5,1,153,0,0,0,5,0,187,0
True,21404500,7499.996,799.9995,5448.046,-0.8921481,0.68249094,0.4185621,0.08215523,0.4242252,58.910553,-0.016119521,-0.015626034,0.0041222856,1.9334441,0.0063149347,-0.014865639,0.40981284,0.43852055,0.3615698,0.38272518,-0.0006926047,-0.00058414025,0.062955,0.05853078,189.63509,189.71782,183.47021,183.4327,0,0,0,0,0,0,0,0,0,0,0,0,-0.02398644,-0.025743855,-0.017008262,-0.019331222,0.023996437,0.02575048,0.06521206,0.06164048,0.0015053228,0.004117124,0.0051134154,0.0074358433,246,4,188,1,4,-600.27026,617.80664,109.19837,58.912132,192511.28,337.40424,188.59306,187.49672,182.53204,182.53204,21.247429,1,33374.418,150.1764,153.10516,115.19887,901.4056,5,1,207,0,0,0,5,0,187,0
True,21404578,7499.996,799.9995,5474.8745,-0.85934526,0.20879629,0.9966465,0.08212471,0.3794409,58.99763,-0.0034692134,-0.013014792,0.0052505787,1.9324695,0.00574658,-0.014502013,0.37516922,0.40141335,0.35316056,0.37278128,-0.0010822872,-0.0009481668,0.08117996,0.07641786,189.89485,189.96516,184.1758,184.10565,0,0,0,0,0,0,0,0,0,0,0,0,-0.02462688,-0.025972215,-0.016603952,-0.018513383,0.024650652,0.025989516,0.08286059,0.07862846,-0.0016465187,0.0007411465,0.004190251,0.0063442066,246,4,188,1,4,-596.4438,617.8097,107.74225,58.9989,236837.77,413.09393,188.50879,187.41678,182.47263,182.47263,21.291683,1,33378.523,150.1764,153.10516,115.26831,901.47504,5,1,248,0,0,0,5,0,188,0
True,21404625,7499.996,799.9995,5475.5376,-0.80499065,-0.4381081,1.3977267,0.08105469,0.33155498,59.091595,-0.0063494006,-0.012470567,0.0035714475,1.9317671,0.005497855,-0.014224091,0.35745093,0.38086343,0.3435904,0.36153376,-0.0012474899,-0.0011132773,0.08267616,0.07829567,190.19907,190.26624,184.47945,184.41896,0,0,0,0,0,0,0,0,0,0,0,0,-0.024543319,-0.025881719,-0.016295312,-0.017997686,0.024575002,0.02590565,0.084266745,0.08033759,-0.0032585114,-0.0011284649,0.0031396449,0.005109459,246,4,188,1,4,-593.37683,617.8108,106.57813,59.092575,244210.84,425.95554,188.44077,187.35194,182.42757,182.42757,21.305042,1,33381.816,150.1764,153.10516,115.32387,901.5306,5,1,255,0,0,0,5,0,189,0
True,21404687,7499.996,799.9995,5481.6465,-0.7915255,-0.17410213,1.5460011,0.07749367,0.2963592,59.1848,-0.011054958,-0.0123694865,0.0004938117,1.9310851,0.0049775285,-0.014136346,0.35952824,0.38088873,0.34765178,0.36543784,-0.001153732,-0.0010320927,0.0790389,0.07414194,190.507,190.57332,184.68298,184.62138,0,0,0,0,0,0,0,0,0,0,0,0,-0.023802739,-0.025144786,-0.015510332,-0.01719836,0.023830684,0.025165958,0.08054638,0.07611052,-0.00306952,-0.0011261627,0.0035855025,0.0055380464,246,4,188,1,4,-590.3042,617.8108,105.41446,59.185596,244377.38,425.73923,188.3737,187.28801,182.38258,182.38258,21.31075,1,33385.113,150.1764,153.10516,115.379425,901.5861,5,1,255,0,0,0,5,0,190,0
True,21404750,7499.996,799.9995,5490.2056,-0.79166174,0.17071989,1.5957277,0.07197189,0.27730694,59.299805,-0.010801397,-0.012246091,0.0009763518,1.9302411,0.0041744816,-0.01417641,0.36996344,0.394566,0.36292535,0.38097987,-0.0010831602,-0.00095156697,0.07607495,0.07123712,190.8785,190.9445,184.96469,184.90164,0,0,0,0,0,0,0,0,0,0,0,0,-0.022985436,-0.024231305,-0.014503834,-0.01625766,0.023010943,0.024249982,0.0774452,0.07306872,-0.0021201372,0.00011818111,0.005262226,0.007244244,246,4,188,1,4,-586.4553,617.8116,103.96058,59.300495,244577.39,425.44012,188.29051,187.20895,182.32668,182.32668,21.313534,1,33389.242,150.1764,153.10516,115.44887,901.6556,5,1,255,0,0,0,5,0,191,0
True,21404812,7499.996,799.9995,5497.709,-0.7706854,0.4426347,1.6157682,0.07069969,0.2804814,59.390926,-0.0031851123,-0.011227333,0.0075043226,1.9295787,0.0037214004,-0.013970248,0.37094262,0.39623424,0.3713605,0.39041606,-0.001072559,-0.00091430347,0.07443316,0.07011054,191.16493,191.22687,185.20741,185.1531,0,0,0,0,0,0,0,0,0,0,0,0,-0.014009315,-0.014858392,-0.014500499,-0.016254583,0.014050312,0.014886497,0.07583245,0.07197013,-0.0020310506,0.0002699569,0.006188236,0.008280143,246,4,188,1,4,-583.36993,617.8141,102.79803,59.391624,244754.88,425.15854,188.22375,187.1456,182.28207,182.28207,21.31437,1,33392.55,150.1764,153.10516,115.504425,901.7111,5,1,255,0,0,0,5,0,192,0
True,21404875,7499.996,799.9995,5513.0884,-0.47493124,-0.11082304,1.6057377,0.0671463,0.29237247,59.502583,0.013196388,0.0028437194,0.014433221,1.9292172,0.004143692,-0.013128352,0.35476598,0.37344503,0.3634693,0.37729177,-0.0012688299,-0.0009292418,0.07938457,0.07768653,191.53505,191.52916,185.69722,185.6483,0,0,0,0,0,0,0,0,0,0,0,0,0.003723344,0.0030592608,-0.011701679,-0.0132542355,0.0039336015,0.0031972749,0.08024238,0.07880909,-0.0035027862,-0.0018033832,0.0053219423,0.0068393648,246,4,188,1,4,-579.5058,617.81824,101.34454,59.503334,245102.25,424.58572,188.13565,187.06078,182.22585,182.22585,21.314781,1,33396.695,150.1764,153.10516,115.57387,901.7806,5,1,255,0,0,0,5,0,193,0
True,21404953,7499.996,799.9995,5526.626,-0.060378343,-0.40202394,1.6359987,0.010770798,0.30174422,59.638157,0.0062422208,0.018829914,0.012900051,1.930239,0.005118554,-0.012059715,0.35248074,0.35942915,0.34996063,0.35356444,-0.0011998063,-0.0010667018,0.07952577,0.08204869,192.02328,191.93022,186.16338,186.14119,0,0,0,0,0,0,0,0,0,0,0,0,0.010336778,0.009335824,0.0013932146,-9.374259E-05,0.010406177,0.009396566,0.07953797,0.082048744,-0.0037106946,-0.0030785352,0.0038389638,0.0042345896,246,4,188,1,4,-574.8589,617.81976,99.597595,59.63892,245412.25,424.0682,188.0302,186.95747,182.15799,182.15799,21.314938,1,33401.676,150.1764,153.10516,115.6572,901.8639,5,1,255,0,0,0,5,0,195,0
True,21405015,7499.996,799.9995,5532.2495,0.24101985,-0.377837,1.6789172,-0.03373909,0.2967069,59.729538,-0.0035548278,0.023132497,0.015036298,1.9314301,0.005171958,-0.01129624,0.3677514,0.36569497,0.3557282,0.3526244,-0.0010731292,-0.0010731823,0.074695915,0.078562014,192.34392,192.22572,186.346,186.33592,0,0,0,0,0,0,0,0,0,0,0,0,0.017169803,0.015908683,0.010080926,0.008476365,0.017203307,0.01594484,0.0753731,0.07901797,-0.0023213848,-0.0025084764,0.004472129,0.0041313916,246,4,188,1,4,-571.7554,617.819,98.42985,59.73028,245544.61,423.8461,187.96233,186.8904,182.11313,182.11313,21.314953,1,33405,150.1764,153.10516,115.71276,901.91943,5,1,255,0,0,0,5,0,196,0
True,21405078,7499.996,799.9995,5539.521,0.5739579,0.033445302,1.6893058,-0.066726685,0.29198563,59.819557,-0.006567041,0.02375031,0.0130231595,1.9327496,0.0048410306,-0.010470244,0.38307604,0.3699306,0.37034678,0.3591893,-0.0009635008,-0.0010643813,0.07165729,0.07706364,192.64137,192.51764,186.55803,186.58122,0,0,0,0,0,0,0,0,0,0,0,0,0.022913236,0.02161592,0.01638643,0.014566266,0.022933485,0.02164211,0.073507026,0.078428194,-0.00092716515,-0.002123125,0.006076947,0.0048520863,246,4,188,1,4,-568.6478,617.8189,97.258385,59.820305,245703.31,423.57883,187.8967,186.82469,182.06888,182.06888,21.314953,1,33408.336,150.1764,153.10516,115.76831,901.97504,5,1,255,0,0,0,5,0,197,0
True,21405140,7499.996,799.9995,5549.8413,0.9181895,0.20294635,1.6070449,-0.0878849,0.29476565,59.930763,-0.0013030653,0.021989407,0.007587687,1.9343531,0.004538749,-0.009701659,0.38852054,0.36706948,0.3813138,0.36277366,-0.0009184521,-0.0011072577,0.0715894,0.07707392,192.98912,192.87221,186.89664,186.93544,0,0,0,0,0,0,0,0,0,0,0,0,0.02728019,0.025994735,0.020234892,0.018359039,0.027295645,0.026018307,0.074394174,0.079230316,-0.0004318282,-0.0023834258,0.007280901,0.005245574,246,4,188,1,4,-564.75836,617.82,95.78764,59.93155,245932.06,423.1926,187.81622,186.74348,182.01418,182.01418,21.314953,1,33412.504,150.1764,153.10516,115.83776,902.04443,5,1,255,0,0,0,5,0,198,0
True,21405203,7499.996,799.9995,5558.3877,1.0886087,0.15662356,1.5709866,-0.091747284,0.30418372,60.019188,-0.00044853764,0.020007532,0.0037684368,1.9355129,0.0045301854,-0.009399219,0.39034438,0.36558416,0.3815746,0.3605277,-0.0009483314,-0.0011102051,0.072039545,0.07857226,193.2672,193.16078,187.17986,187.2385,0,0,0,0,0,0,0,0,0,0,0,0,0.028762389,0.02741451,0.020809865,0.018947612,0.028778018,0.027436981,0.074984975,0.08082458,-0.00026589632,-0.002518557,0.0073095337,0.0049990118,246,4,188,1,4,-561.64307,617.8213,94.605385,60.020023,246123.39,422.8684,187.75247,186.67885,181.97052,181.97052,21.314953,1,33415.848,150.1764,153.10516,115.89331,902.10004,5,1,255,0,0,0,5,0,199,0
