IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,5407828,7499.996,799.9995,961.54517,-0.026398376,0.053410374,-0.29682228,0.0008189082,0.015390137,1.9072039,-0.0020621684,-0.013846195,0.0024404218,-0.5066456,-0.022463305,-0.006840259,0.50836295,0.521371,0.47112438,0.45583776,0.0010391423,0.00080294337,0.0009960771,0.0010790047,6.1097016,6.181978,5.866122,5.933869,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.09826037,-0.074149065,-0.0014735397,-0.13702126,0.098265864,0.074153416,0.00177862,0.1370255,0.0053216144,0.0069006234,0.0030242875,0.00065486133,246,3,10,1,4,-561.9884,-20.519331,-95.077736,1.907266,-296.5801,-2.944141,175.44623,177.90051,181.12125,181.12125,-11.024998,1,93956.88,132.93907,133.96371,23.256607,2879.5417,20,1,0,0,0,0,1,-4,107,0
True,5409468,7499.996,799.9995,951.26764,-0.10119998,0.041848306,-0.25845826,0.00067430735,0.018037133,1.8862461,-0.00073713966,-0.014122676,0.0020774268,-0.507634,-0.022558559,-0.0066663097,0.5084311,0.5213023,0.4716231,0.45638806,0.00089312537,0.0008812327,0.0008256252,0.001142367,6.039438,6.113787,5.7986016,5.8682733,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.09476516,-0.07012349,-0.006209648,-0.13892502,0.094769366,0.07012903,0.0062642945,0.13892972,0.0053298846,0.006892279,0.0031015873,0.0007401556,246,3,10,1,4,-562.0525,-20.51519,-94.96264,1.8863324,-274.79428,-2.75733,175.39677,177.85045,181.05568,181.05568,-11.024998,1,93957.04,132.93907,133.96371,23.326052,2879.611,20,1,0,0,0,0,1,-4,107,0
True,5409531,7499.996,799.9995,940.9918,0.0659273,0.026316848,-0.35168195,0.0006225109,0.01856118,1.8651253,-0.00069641066,-0.013314699,0.002122592,-0.5085699,-0.02260862,-0.006516096,0.50849915,0.52092,0.47047898,0.45578533,0.00093348965,0.0008122005,0.0008456647,0.0010401268,5.9736347,6.043414,5.7353783,5.800769,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.09920074,-0.0743586,-0.0028344477,-0.13509183,0.09920513,0.07436304,0.0029579117,0.13509583,0.0053381473,0.0068458766,0.0029242486,0.00064673275,246,3,10,1,4,-562.1157,-20.51098,-94.848885,1.8652177,-253.40688,-2.5704865,175.34839,177.80103,180.9902,180.9902,-11.024998,1,93957.195,132.93907,133.96371,23.395494,2879.6807,20,1,0,0,0,0,1,-4,107,0
True,5409578,7499.996,799.9995,932.8253,-0.059473045,0.0016947277,-0.29115972,0.0005968213,0.017593225,1.8481667,-0.00043519784,-0.013499146,0.0029319671,-0.5093163,-0.02264616,-0.006372356,0.50777596,0.52024716,0.46960533,0.45543775,0.0009706639,0.0008507174,0.0008732704,0.0010837598,5.918252,5.989068,5.6822104,5.748568,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.097311,-0.07395306,-0.0051325974,-0.13841014,0.09731584,0.07395796,0.005206357,0.13841438,0.005250357,0.0067642033,0.0027888343,0.0005928576,246,3,10,1,4,-562.1657,-20.507647,-94.75885,1.8482506,-236.69951,-2.4220233,175.31041,177.76202,180.93788,180.93788,-11.024998,1,93957.32,132.93907,133.96371,23.451052,2879.736,20,1,0,0,0,0,1,-4,107,0
True,5409656,7499.996,799.9995,922.593,-0.11306217,-0.0072720544,-0.25963202,0.00037813187,0.01658921,1.8269613,-0.00032754603,-0.013296555,0.0008251121,-0.51024455,-0.022684576,-0.0061936043,0.508473,0.518774,0.46910462,0.4547836,0.00095331884,0.0008480768,0.0008856476,0.0010851681,5.8503895,5.9200873,5.6170425,5.682348,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.09284294,-0.06942848,0.000112106885,-0.13286898,0.09284783,0.06943366,0.0008927148,0.1328734,0.005334966,0.0065853745,0.0027112216,0.00049146265,246,3,10,1,4,-562.2283,-20.50357,-94.647514,1.8270365,-216.12791,-2.2360384,175.26324,177.71361,180.8729,180.8729,-11.024998,1,93957.47,132.93907,133.96371,23.520494,2879.8057,20,1,0,0,0,0,1,-4,107,0
True,5409703,7499.996,799.9995,914.37006,0.050122738,-0.02098042,-0.33869156,0.0004259944,0.014733959,1.8099945,-0.0007677444,-0.012991337,-0.001954123,-0.51097715,-0.022716587,-0.0062293266,0.50859445,0.5180057,0.46817285,0.45365545,0.00088024215,0.0008798749,0.0008590008,0.0011263933,5.7970414,5.865266,5.5658407,5.629776,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.08937208,-0.065518335,0.006448042,-0.12660523,0.08937641,0.06552424,0.0065050083,0.12661023,0.0053497106,0.006492123,0.0025667995,0.00031660497,246,3,10,1,4,-562.27734,-20.500406,-94.55941,1.8100544,-199.88365,-2.0865648,175.22499,177.674,180.82082,180.82082,-11.024998,1,93957.586,132.93907,133.96371,23.576052,2879.861,20,1,0,0,0,0,1,-4,107,0
True,5409781,7499.996,799.9995,904.11523,-0.07611714,-0.013783416,-0.26866558,0.0007405281,0.013865311,1.7888296,-0.00032431437,-0.012744824,0.0010349596,-0.5118748,-0.022766942,-0.0062698727,0.50698406,0.519461,0.4679502,0.454549,0.00097017136,0.0009378265,0.00088858156,0.0011565787,5.7289777,5.7959995,5.500464,5.563266,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.09460531,-0.0727079,0.0016348998,-0.13346021,0.09461029,0.07271395,0.0018607725,0.13346522,0.0051542297,0.006668769,0.0025322884,0.00045510381,246,3,10,1,4,-562.3384,-20.496584,-94.45048,1.7888834,-179.98582,-1.9001534,175.17761,177.6248,180.75653,180.75653,-11.024998,1,93957.734,132.93907,133.96371,23.645494,2879.9307,20,1,0,0,0,0,1,-4,107,0
True,5409828,7499.996,799.9995,895.8581,-0.11529106,-0.0009145336,-0.25699803,0.00065237284,0.01482722,1.7719263,-0.00022963155,-0.012323109,0.004626288,-0.51256806,-0.022780385,-0.0060792025,0.5067826,0.5207869,0.46854615,0.45544818,0.0010398,0.0008707584,0.00089089974,0.0010554601,5.675602,5.7402544,5.4491887,5.5097704,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.10309514,-0.08214167,-0.0034491357,-0.13968745,0.10310038,0.08214628,0.0035623363,0.13969143,0.005129777,0.0068297163,0.0026246607,0.0005944744,246,3,10,1,4,-562.3872,-20.493536,-94.3643,1.7719883,-164.25806,-1.750084,175.1415,177.5874,180.70459,180.70459,-11.024998,1,93957.85,132.93907,133.96371,23.701052,2879.986,20,1,0,0,0,0,1,-4,107,0
True,5409906,7499.996,799.9995,885.57275,-0.017331578,0.011006577,-0.31018823,0.00064510107,0.015669405,1.7507266,-0.00020919973,-0.012672151,0.006342518,-0.5134388,-0.022797672,-0.005647544,0.506807,0.52115107,0.46961784,0.455007,0.0010434407,0.00086012547,0.0008796013,0.0010515248,5.6062937,5.6728406,5.382665,5.4450197,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.10361188,-0.08273282,-0.010519965,-0.14655259,0.10361713,0.08273729,0.010556674,0.14655636,0.005132742,0.0068739206,0.0027907714,0.00052609295,246,3,10,1,4,-562.44666,-20.489689,-94.25778,1.7507968,-145.02167,-1.5630713,175.0981,177.54237,180.64088,180.64088,-11.024998,1,93958,132.93907,133.96371,23.770494,2880.0557,20,1,0,0,0,0,1,-4,107,0
True,5409953,7499.996,799.9995,877.3901,-0.09005604,-0.0026229704,-0.26933435,0.00052946806,0.015372833,1.7337314,-0.00013858522,-0.012320328,0.005088236,-0.5141328,-0.022811925,-0.0053133518,0.5067846,0.52050465,0.47025824,0.45425266,0.0010322334,0.0008881917,0.00089239405,0.0010795915,5.5525393,5.617227,5.3310456,5.3916583,1E-45,0,1E-45,0,0,0,0,0,1.5,0,1.5,0,-0.10202922,-0.08050759,-0.0056997314,-0.14138708,0.10203444,0.080512494,0.005769169,0.1413912,0.0051300228,0.0067954585,0.0028900355,0.00040917099,246,3,10,1,4,-562.49426,-20.486612,-94.17352,1.7337996,-130.00404,-1.4142745,175.06372,177.50641,180.59052,180.59052,-11.024998,1,93958.11,132.93907,133.96371,23.826052,2880.111,20,1,0,0,0,0,1,-4,107,0
