IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,26788609,7999.995,799.9995,6318.0693,9.934881,0.8118441,-0.9600978,-0.4806919,-0.07326704,40.924755,-0.0140577,0.19172369,-0.055941183,-1.0854312,0.007161104,-0.051334582,0.38954297,0.19172326,0.39014307,0.17173988,0.0005268738,0.0013094342,-0.01542495,-0.030187376,121.69623,120.79634,120.81179,119.64511,0,0,0,0,0,0,0,0,0,0,0,0,0.28330085,0.20884869,0.20245227,0.20883675,0.28330132,0.20885278,0.20303904,0.21100727,0.012780532,-0.00753735,0.011564344,-0.007686734,61,5,205,1,6,-236.97292,-7.5109205,-28.413546,40.927643,-45094.73,-68.15126,210.3822,210.90488,205.26865,205.26865,-11.024998,1,18103.158,129.31252,130.08295,64.344124,481.50278,3,1,0,0,0,0,4,3,232,0
True,26788687,7999.995,799.9995,6305.031,8.956887,0.26609704,-0.9828434,-0.40710068,-0.093681455,40.826134,-0.002537245,0.19100676,-0.0446736,-1.0695729,0.0073859687,-0.05555625,0.36258557,0.1882197,0.36317667,0.1754418,0.00052625244,0.0014305435,-0.015656048,-0.028791955,121.37877,120.48368,120.49017,119.36323,0,0,0,0,0,0,0,0,0,0,0,0,0.30238718,0.22555558,0.17711963,0.19012816,0.30238762,0.22556011,0.17781022,0.19229586,0.010011762,-0.007897198,0.0091874,-0.0073604286,61,5,205,1,6,-239.98982,-7.5405383,-26.832306,40.828266,-45001.395,-68.15126,210.37091,210.81927,205.23994,205.23994,-11.024998,1,18106.59,129.31252,130.08295,64.42746,481.58612,3,1,0,0,0,0,4,4,229,0
True,26788750,7999.995,799.9995,6294.2466,8.928273,0.42235127,-0.9998908,-0.3601036,-0.0879792,40.758728,-0.021105874,0.20880921,-0.015790327,-1.0585442,0.00743826,-0.05718658,0.38212556,0.20715816,0.35117152,0.17394552,0.00021667032,0.0013136965,-0.016554179,-0.0286174,121.24019,120.26274,120.3524,119.15182,0,0,0,0,0,0,0,0,0,0,0,0,0.32865396,0.2426185,0.16691662,0.18073916,0.32865402,0.24262205,0.1677355,0.18299071,0.0120186955,-0.0059520453,0.008129209,-0.0074923187,61,5,205,1,6,-241.98126,-7.5612817,-25.750801,40.760414,-44889.156,-68.09822,210.37164,210.7706,205.21591,205.21591,-11.024998,1,18108.879,129.31252,130.08295,64.48302,481.64166,3,1,0,0,0,0,4,5,227,0
True,26788812,7999.995,799.9995,6285.6187,9.565811,1.1806334,-1.0562239,-0.3340187,-0.074979186,40.669178,-0.04063282,0.25369537,0.0010894574,-1.0423423,0.006125191,-0.057456385,0.41765276,0.2260354,0.38752493,0.18285936,0.00030054006,0.0017209409,-0.014521982,-0.026480837,121.1065,119.91919,120.25973,118.85043,0,0,0,0,0,0,0,0,0,0,0,0,0.35587457,0.26035842,0.1861455,0.18976198,0.3558747,0.26036412,0.1867111,0.19160074,0.015667662,-0.0040131807,0.01133357,-0.0067066103,61,5,205,1,6,-244.44608,-7.585104,-24.365873,40.67062,-44768.496,-68.00993,210.38467,210.71704,205.18929,205.18929,-11.024998,1,18111.74,129.31252,130.08295,64.55246,481.71112,3,1,0,0,0,0,4,5,224,0
True,26788875,7999.995,799.9995,6274.9717,10.273162,1.699125,-1.0393867,-0.34976387,-0.064584255,40.59542,-0.04602049,0.28575167,-0.0040842462,-1.0271491,0.004482047,-0.0573511,0.43856174,0.22529434,0.41630965,0.18681437,0.0004670166,0.0020331708,-0.013981215,-0.024743559,120.96566,119.62805,120.13477,118.595505,0,0,0,0,0,0,0,0,0,0,0,0,0.38659954,0.2829821,0.20850372,0.20671222,0.3865998,0.2829894,0.20897195,0.20818786,0.017815202,-0.004089296,0.013870791,-0.0063579977,61,5,205,1,6,-246.39601,-7.5997825,-23.228827,40.596977,-44626.465,-67.905846,210.40433,210.67862,205.1758,205.1758,-11.024998,1,18114.027,129.31252,130.08295,64.60802,481.76666,3,1,0,0,0,0,4,6,223,0
True,26788937,7999.995,799.9995,6257.585,10.812121,1.606837,-1.0264502,-0.4162464,-0.05842316,40.502953,-0.022692457,0.3004073,-0.029619198,-1.0065179,0.0031684153,-0.058342814,0.42518726,0.19481581,0.42953828,0.18525621,0.00078373495,0.0028801614,-0.014746081,-0.026267365,120.67938,119.28244,119.85075,118.22577,0,0,0,0,0,0,0,0,0,0,0,0,0.4318838,0.31806815,0.23499204,0.23039143,0.43188453,0.31808117,0.23545425,0.23188399,0.016441524,-0.007219717,0.015036821,-0.0064953417,61,5,205,1,6,-248.804,-7.6127505,-21.769228,40.50513,-44389.69,-67.731964,210.43631,210.63492,205.16905,205.16905,-11.024998,1,18116.879,129.31252,130.08295,64.67746,481.83612,3,1,0,0,0,0,4,6,221,0
True,26789000,7999.995,799.9995,6241.4585,10.795751,1.0154455,-0.9787884,-0.4981079,-0.056908846,40.428463,-0.010312045,0.30732244,-0.03753193,-0.9896635,0.003420298,-0.060387686,0.40503505,0.18082926,0.4085386,0.16978173,0.0006802461,0.0028395217,-0.016679417,-0.031373937,120.440056,119.00927,119.603065,117.878525,0,0,0,0,0,0,0,0,0,0,0,0,0.47135174,0.35636014,0.2572357,0.25020874,0.47135225,0.35637146,0.2577759,0.2521681,0.014371708,-0.008656263,0.013185814,-0.007859334,61,5,205,1,6,-250.70657,-7.6216683,-20.571623,40.43157,-44170.1,-67.57029,210.46866,210.6054,205.16685,205.16685,-11.024998,1,18119.152,129.31252,130.08295,64.73302,481.89166,3,1,0,0,0,0,4,7,220,0
True,26789062,7999.995,799.9995,6223.242,10.820761,0.38801688,-0.99288654,-0.6363621,-0.07527673,40.33161,-0.0033647404,0.32396945,-0.038345017,-0.9676609,0.004238337,-0.0632211,0.3914202,0.16255903,0.38448182,0.15596059,0.00084017054,0.003878587,-0.018796314,-0.03417003,120.16524,118.66948,119.31974,117.5114,0,0,0,0,0,0,0,0,0,0,0,0,0.521342,0.39344126,0.30459335,0.2911301,0.52134264,0.3934604,0.30517274,0.2931285,0.012973338,-0.0105327815,0.011065334,-0.009077594,61,5,205,1,6,-253.05478,-7.634592,-19.038626,40.336704,-43917.25,-67.38362,210.52032,210.57738,205.17007,205.17007,-11.024998,1,18121.996,129.31252,130.08295,64.80246,481.96112,3,1,0,0,0,0,4,7,219,0
True,26789125,7999.995,799.9995,6210.1963,11.375271,0.50246704,-1.0163083,-0.72881126,-0.06599307,40.24984,-0.018333148,0.34252504,-0.022354586,-0.9492251,0.0048869597,-0.06451475,0.4118418,0.17468172,0.3814133,0.1394035,0.0005937353,0.003401914,-0.018946718,-0.045142654,119.97614,118.39013,119.14826,117.08539,0,0,0,0,0,0,0,0,0,0,0,0,0.5666929,0.41479897,0.3414211,0.31293073,0.5666932,0.41481295,0.3419464,0.31617004,0.015070826,-0.00928767,0.010794863,-0.010537013,61,5,205,1,6,-254.90764,-7.646371,-17.78253,40.256493,-43745.848,-67.25678,210.57475,210.56445,205.1826,205.1826,-11.024998,1,18124.26,129.31252,130.08295,64.85802,482.01666,3,1,0,0,0,0,4,7,218,0
True,26789187,7999.995,799.9995,6195.4087,12.346446,1.0558827,-0.9996834,-0.8251991,-0.040644407,40.1417,-0.027630372,0.35627592,0.0028423956,-0.92475694,0.0049361465,-0.06537002,0.44356704,0.18882221,0.40814185,0.14434798,0.0006749636,0.0027251022,-0.019688666,-0.043852117,119.69029,118.02462,118.87691,116.73516,0,0,0,0,0,0,0,0,0,0,0,0,0.62422365,0.44792628,0.38684914,0.33992344,0.624224,0.44793457,0.38734984,0.34274036,0.018329293,-0.007835314,0.013150841,-0.010101184,61,5,205,1,6,-257.1884,-7.6608047,-16.172552,40.150208,-43537.59,-67.10234,210.6569,210.55359,205.21498,205.21498,-11.024998,1,18127.092,129.31252,130.08295,64.92746,482.08612,3,1,0,0,0,0,4,7,216,0
